"","abundance","cluster","sample","total_count"
"1",0.000680580762250454,"CP008865.6711864.6713285_Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas_aeruginosa","plate2_barcode95.summary.txt",6
"2",0.000680580762250454,"CP019662.160894.162442_Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus_subtilis_subsp._subtilis_str._168","plate2_barcode95.summary.txt",6
"3",0.000680580762250454,"CP027118.4418812.4420365_Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia_coli","plate2_barcode95.summary.txt",6
"4",0.000680580762250454,"CVJT01000011.50.2173_Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;Staphylococcus_aureus","plate2_barcode95.summary.txt",6
"5",0.000680580762250454,"FPID01000123.4.1505_Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;metagenome","plate2_barcode95.summary.txt",6
"6",0.000680580762250454,"FPID01000641.5.1504_Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;metagenome","plate2_barcode95.summary.txt",6
"7",0.000680580762250454,"FPLN01006637.13.1460_Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;metagenome","plate2_barcode95.summary.txt",6
"8",0.000680580762250454,"FQIC01000011.4388.5605_Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;Staphylococcus_aureus","plate2_barcode95.summary.txt",6
"9",0.000680580762250454,"MKIT01000280.63.1579_Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Burkholderia_pseudomallei","plate2_barcode95.summary.txt",6
"10",0.000794010889292196,"AY349382.1.1568_Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;HT002;Lactobacillus_sp._oral_clone_HT002","plate2_barcode95.summary.txt",7
"11",0.000794010889292196,"CP006952.875396.876900_Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus_amyloliquefaciens_LFB112","plate2_barcode95.summary.txt",7
"12",0.000794010889292196,"CP007799.4339816.4341330_Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia_coli_Nissle_1917","plate2_barcode95.summary.txt",7
"13",0.000794010889292196,"FPLN01009530.8.1528_Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;metagenome","plate2_barcode95.summary.txt",7
